target_name,target_context,connection_name,connection_context,relationship_type,evidence_note,source_url
LeBron James,NBA forward for the Los Angeles Lakers,Rich Paul,Founder of Klutch Sports Group,agent,Represented by Paul since he founded Klutch in 2012,https://en.wikipedia.org/wiki/Rich_Paul
LeBron James,NBA forward for the Los Angeles Lakers,Maverick Carter,CEO of The SpringHill Company,cofounder,Friends since high school; cofounded SpringHill in 2020,https://en.wikipedia.org/wiki/Maverick_Carter
LeBron James,NBA forward for the Los Angeles Lakers,Anthony Davis,NBA forward-center for the Dallas Mavericks,colleague,Lakers teammates 2019-2025; 2020 championship,https://en.wikipedia.org/wiki/Anthony_Davis
LeBron James,NBA forward for the Los Angeles Lakers,Dwyane Wade,Retired NBA guard and Chicago Sky co-owner,colleague,Miami Heat teammates 2010-2014; two championships,https://en.wikipedia.org/wiki/Dwyane_Wade
LeBron James,NBA forward for the Los Angeles Lakers,Luka Doncic,NBA guard for the Los Angeles Lakers,colleague,Lakers teammates from February 2025,https://en.wikipedia.org/wiki/Luka_Don%C4%8Di%C4%87
LeBron James,NBA forward for the Los Angeles Lakers,Bronny James,NBA guard for the Los Angeles Lakers,family,Son; drafted by the Lakers in 2024,https://en.wikipedia.org/wiki/Bronny_James
LeBron James,NBA forward for the Los Angeles Lakers,Carmelo Anthony,Retired NBA forward,friend,Longtime friends from USA Basketball; 2004-2012 Olympic teammates,https://en.wikipedia.org/wiki/Carmelo_Anthony
LeBron James,NBA forward for the Los Angeles Lakers,Savannah James,Entrepreneur and philanthropist,spouse,Married 2013; partners since high school in Akron,https://en.wikipedia.org/wiki/LeBron_James
Stephen Curry,NBA guard for the Golden State Warriors,Draymond Green,NBA forward for the Golden State Warriors,colleague,Warriors teammates since 2012; four championships,https://en.wikipedia.org/wiki/Draymond_Green
Stephen Curry,NBA guard for the Golden State Warriors,Jimmy Butler,NBA forward for the Golden State Warriors,colleague,Golden State Warriors teammates from February 2025,https://en.wikipedia.org/wiki/Stephen_Curry
Stephen Curry,NBA guard for the Golden State Warriors,Klay Thompson,NBA guard for the Dallas Mavericks,colleague,Warriors backcourt teammates 2011-2024; four championships,https://en.wikipedia.org/wiki/Klay_Thompson
Stephen Curry,NBA guard for the Golden State Warriors,Steve Kerr,Golden State Warriors head coach,colleague,Coached by Kerr since 2014,https://en.wikipedia.org/wiki/Steve_Kerr
Stephen Curry,NBA guard for the Golden State Warriors,Dell Curry,Retired NBA guard and broadcaster,family,Father; played 16 NBA seasons,https://en.wikipedia.org/wiki/Dell_Curry
Stephen Curry,NBA guard for the Golden State Warriors,Seth Curry,NBA guard,family,Younger brother,https://en.wikipedia.org/wiki/Seth_Curry
Stephen Curry,NBA guard for the Golden State Warriors,Ayesha Curry,Author and television personality,spouse,Married 2011,https://en.wikipedia.org/wiki/Ayesha_Curry
Kevin Durant,NBA forward and Thirty Five Ventures cofounder,Rich Kleiman,Business manager and Thirty Five Ventures cofounder,cofounder,Cofounded Thirty Five Ventures in 2016,https://en.wikipedia.org/wiki/Kevin_Durant
Kevin Durant,NBA forward and Thirty Five Ventures cofounder,Devin Booker,NBA guard for the Phoenix Suns,colleague,Phoenix Suns teammates 2023-2025,https://en.wikipedia.org/wiki/Devin_Booker
Kevin Durant,NBA forward and Thirty Five Ventures cofounder,Kyrie Irving,NBA guard,colleague,Brooklyn Nets teammates 2019-2023,https://en.wikipedia.org/wiki/Kyrie_Irving
