target_name,target_context,connection_name,connection_context,relationship_type,evidence_note,source_url
Taylor Swift,most-streamed pop artist; Eras Tour,Douglas Baldridge,trial attorney,attorney,Lead counsel in her successful 2017 civil trial,https://en.wikipedia.org/wiki/Taylor_Swift_sexual_assault_trial
Taylor Swift,most-streamed pop artist; Eras Tour,Tree Paine,publicist,publicist,Her publicist since 2014; famously central to her communications,https://en.wikipedia.org/wiki/Tree_Paine
Jay-Z,"rapper, Roc Nation founder",Alex Spiro,Quinn Emanuel litigator,attorney,Longtime litigation counsel across multiple public matters,https://en.wikipedia.org/wiki/Alex_Spiro
Jay-Z,"rapper, Roc Nation founder",Desiree Perez,Roc Nation CEO,executive,Runs Roc Nation as CEO; business partner for two decades,https://en.wikipedia.org/wiki/Desiree_Perez
Rihanna,"singer, Fenty founder",Jay Brown,Roc Nation vice chairman,manager,Longtime manager and Roc Nation cofounder,https://en.wikipedia.org/wiki/Roc_Nation
Drake,most-streamed rapper,Noah Shebib,producer known as 40,colleague,OVO Sound cofounder and career-long production partner,https://en.wikipedia.org/wiki/Noah_%2240%22_Shebib
Drake,most-streamed rapper,Oliver El-Khatib,OVO cofounder,manager,Longtime manager and OVO Sound cofounder,https://en.wikipedia.org/wiki/OVO_Sound
Kendrick Lamar,Pulitzer-winning rapper,Anthony Tiffith,Top Dawg Entertainment founder,executive,Signed him to TDE as a teenager,https://en.wikipedia.org/wiki/Top_Dawg_Entertainment
Kendrick Lamar,Pulitzer-winning rapper,Dave Free,pgLang cofounder,colleague,Longtime creative partner; cofounded pgLang together in 2020,https://en.wikipedia.org/wiki/Dave_Free
Ariana Grande,pop superstar and Wicked star,Scooter Braun,music executive,manager,"Former manager, 2013-2023",https://en.wikipedia.org/wiki/Scooter_Braun
Selena Gomez,"singer and actress, Rare Beauty founder",Mandy Teefey,Wondermind cofounder,family,Mother and former manager; cofounded Wondermind together,https://en.wikipedia.org/wiki/Mandy_Teefey
