target_name,target_context,connection_name,connection_context,relationship_type,evidence_note,source_url
Robert Langer,"MIT Institute Professor, most-cited engineer, serial biotech founder",Daniel Anderson,"MIT professor, drug delivery",colleague,Longtime Langer lab collaborator and cofounder,https://en.wikipedia.org/wiki/Robert_Langer
Robert Langer,MIT Institute Professor,David Berry,"Flagship general partner, serial founder",mentor,Langer lab alumnus; Flagship serial founder,https://en.wikipedia.org/wiki/Flagship_Pioneering
Robert Langer,MIT Institute Professor,Moungi Bawendi,"Nobel laureate chemist, quantum dot pioneer",colleague,MIT faculty; nanomaterials collaborators,https://en.wikipedia.org/wiki/Moungi_Bawendi
Robert Langer,"MIT Institute Professor, most-cited engineer, serial biotech founder",Noubar Afeyan,"Flagship Pioneering founder, Moderna cofounder",cofounder,Cofounded Moderna in 2010 and many Flagship companies,https://en.wikipedia.org/wiki/Noubar_Afeyan
Robert Langer,"MIT Institute Professor, most-cited engineer, serial biotech founder",Omid Farokhzad,"Seer founder, nanomedicine pioneer",student,Langer lab alumnus; cofounded BIND and Selecta with him,https://en.wikipedia.org/wiki/Omid_Farokhzad
Robert Langer,MIT Institute Professor,Rahul Singhvi,National Resilience cofounder and CEO,colleague,Cofounded Resilience within the Flagship/Langer ecosystem,https://en.wikipedia.org/wiki/Robert_Langer
Robert Langer,"MIT Institute Professor, most-cited engineer, serial biotech founder",Ram Sasisekharan,"MIT bioengineering professor, biotech founder",student,Langer lab alumnus; cofounded Momenta and others with him,https://en.wikipedia.org/wiki/Ram_Sasisekharan
Robert Langer,MIT Institute Professor,Samir Mitragotri,"Harvard bioengineer, serial founder",mentor,Langer lab alumnus; drug delivery founder,https://en.wikipedia.org/wiki/Robert_Langer
Robert Langer,"MIT Institute Professor, serial biotech founder",Susan Hockfield,"former MIT president, neuroscientist",colleague,MIT leadership and scientific collaborators,https://en.wikipedia.org/wiki/Susan_Hockfield
Robert Langer,"MIT Institute Professor, serial biotech founder",Terry McGuire,Polaris Partners cofounder,colleague,Cofounded Living Proof and other companies with him,https://en.wikipedia.org/wiki/Polaris_Partners
Noubar Afeyan,Flagship Pioneering founder,Avak Kahvejian,"Flagship Pioneering general partner, serial founder",colleague,Flagship origination partner; cofounded multiple companies,https://en.wikipedia.org/wiki/Flagship_Pioneering
Noubar Afeyan,"Flagship Pioneering founder and CEO, Moderna chairman",Derrick Rossi,"stem cell biologist, Moderna cofounder",cofounder,Moderna cofounders 2010,https://en.wikipedia.org/wiki/Derrick_Rossi
Noubar Afeyan,Flagship Pioneering founder,Geoffrey von Maltzahn,"Flagship general partner, serial founder",colleague,"Flagship serial cofounder of Indigo, Kaleido, and others",https://en.wikipedia.org/wiki/Flagship_Pioneering
Noubar Afeyan,Flagship Pioneering founder,George Church,"Harvard genetics professor, serial biotech founder",colleague,Cofounded multiple companies through Flagship,https://en.wikipedia.org/wiki/George_Church_(geneticist)
