target_name,target_context,connection_name,connection_context,relationship_type,evidence_note,source_url
Warren Buffett,Berkshire Hathaway chairman,Ajit Jain,Berkshire insurance vice chairman,executive,Trusted insurance lieutenant for nearly four decades,https://en.wikipedia.org/wiki/Ajit_Jain
Warren Buffett,Berkshire Hathaway chairman,Bill Gates,Microsoft cofounder,friend,Decades-long friendship; cofounded the Giving Pledge in 2010,https://en.wikipedia.org/wiki/Warren_Buffett
Warren Buffett,Berkshire Hathaway chairman,Brian Moynihan,Bank of America CEO,portfolio_founder,Buffett's 2011 crisis-era investment; long shareholder relationship,https://en.wikipedia.org/wiki/Brian_Moynihan
Warren Buffett,Berkshire Hathaway chairman,Byron Trott,BDT & MSD Partners founder,colleague,The only banker Buffett publicly praised in his letters,https://en.wikipedia.org/wiki/Byron_Trott
Warren Buffett,Berkshire Hathaway chairman,Greg Abel,Berkshire Hathaway CEO,successor,Hand-picked successor; became CEO January 2026,https://en.wikipedia.org/wiki/Greg_Abel
Warren Buffett,Berkshire Hathaway chairman,Howard Buffett,philanthropist and farmer,family,Son; designated non-executive chairman successor,https://en.wikipedia.org/wiki/Howard_Graham_Buffett
Warren Buffett,Berkshire Hathaway chairman,Jorge Paulo Lemann,"3G Capital cofounder, Brazil's richest man",partner,Kraft Heinz partnership between 3G and Berkshire,https://en.wikipedia.org/wiki/Jorge_Paulo_Lemann
Warren Buffett,Berkshire Hathaway chairman,Peter Buffett,musician and philanthropist,family,Son; co-chairs NoVo Foundation,https://en.wikipedia.org/wiki/Peter_Buffett
Warren Buffett,Berkshire Hathaway chairman,Susan Alice Buffett,philanthropist,family,Daughter; chairs the Sherwood Foundation,https://en.wikipedia.org/wiki/Susan_Alice_Buffett
Warren Buffett,Berkshire Hathaway chairman,Ted Weschler,Berkshire investment manager,executive,Investment deputy since 2012,https://en.wikipedia.org/wiki/Ted_Weschler
Warren Buffett,Berkshire Hathaway chairman,Todd Combs,"Berkshire investment manager, GEICO CEO",executive,Investment deputy since 2010,https://en.wikipedia.org/wiki/Todd_Combs
Greg Abel,Berkshire Hathaway CEO,Warren Buffett,Berkshire Hathaway chairman,predecessor,Hand-picked successor; became CEO January 2026,https://en.wikipedia.org/wiki/Greg_Abel
Larry Fink,BlackRock cofounder and CEO,Rick Rieder,BlackRock fixed income CIO,executive,Top investment deputy,https://en.wikipedia.org/wiki/Rick_Rieder
Larry Fink,BlackRock cofounder and CEO,Rob Kapito,BlackRock cofounder and president,cofounder,BlackRock cofounders 1988,https://en.wikipedia.org/wiki/Robert_S._Kapito
Larry Fink,BlackRock cofounder and CEO,Susan Wagner,"BlackRock cofounder, board member",cofounder,BlackRock cofounders 1988,https://en.wikipedia.org/wiki/Susan_Wagner
Rob Kapito,BlackRock cofounder and president,Larry Fink,BlackRock cofounder and CEO,cofounder,BlackRock cofounders 1988,https://en.wikipedia.org/wiki/Robert_S._Kapito
Rob Kapito,BlackRock cofounder and president,Susan Wagner,"BlackRock cofounder, board member",cofounder,BlackRock cofounders 1988,https://en.wikipedia.org/wiki/Susan_Wagner
Susan Wagner,"BlackRock cofounder, board member",Larry Fink,BlackRock cofounder and CEO,cofounder,BlackRock cofounders 1988,https://en.wikipedia.org/wiki/Susan_Wagner
Susan Wagner,"BlackRock cofounder, board member",Rob Kapito,BlackRock cofounder and president,cofounder,BlackRock cofounders 1988,https://en.wikipedia.org/wiki/Susan_Wagner
Abigail Johnson,"Fidelity chairman and CEO, third-generation",Anne Richards,Fidelity International CEO,colleague,Leads the affiliated Fidelity International,https://en.wikipedia.org/wiki/Anne_Richards_(executive)
